Fid  | Fcalorie          | Fcarb             | Fprotein          | Ffat              | Fsodium           | Ffiber             
2928 |              5.82 |               1.5 |              0.09 |              0.01 |              0.18 |               0.64 
2929 |            125.46 |             30.01 |              1.01 |               0.2 |              9.84 |               0.49 
2930 |             95.88 |             23.46 |              1.73 |              0.27 |              2.04 |               3.47 
2931 |              84.6 |             21.15 |              1.69 |              0.22 |                 0 |               4.32 
2932 |             107.1 |             26.35 |              2.21 |              0.51 |               3.4 |               7.65 
2933 |             62.35 |             15.69 |              0.68 |              0.38 |              11.6 |               2.46 
2934 |             80.34 |             21.77 |              0.05 |              0.21 |              3.51 |               0.58 
2935 |             68.08 |             17.36 |              0.36 |               0.2 |              6.21 |               1.29 
2936 |            104.92 |              26.4 |              1.15 |              0.63 |             19.52 |               4.15 
2937 |             142.5 |             36.27 |              0.42 |              0.38 |              12.5 |                1.5 
2938 |            228.92 |             55.18 |              5.19 |              1.65 |             66.08 |              24.54 
2939 |               297 |             76.38 |              2.81 |              0.59 |               5.4 |               6.48 
2940 |            103.84 |              25.7 |              0.55 |              0.15 |              0.88 |               0.88 
2941 |            159.84 |             40.91 |              1.15 |               0.4 |             13.32 |               2.66 
2942 |               235 |             59.95 |              1.57 |              0.33 |                15 |                4.5 
2943 |               434 |            114.52 |              2.27 |              0.78 |               8.4 |              15.96 
2944 |              79.8 |             21.32 |               0.5 |               0.2 |               1.4 |               4.34 
2945 |            148.74 |             38.35 |              0.48 |              0.36 |             10.05 |               5.43 
2946 |            258.02 |             67.17 |              0.51 |              0.35 |              13.3 |               4.26 
2947 |                54 |              12.2 |              1.11 |              0.26 |            198.45 |               2.16 
2948 |             93.16 |             24.97 |              0.47 |               0.2 |              0.68 |               4.93 
2949 |             31.75 |              8.38 |               0.2 |               0.1 |              0.25 |                  0 
2950 |               480 |             22.56 |              1.36 |             44.28 |               288 |                2.7 
2951 |              82.5 |             21.65 |              0.89 |               0.2 |              1.65 |               2.31 
2952 |             74.25 |              19.5 |              0.91 |              0.21 |              1.65 |                  0 
2953 |             108.6 |             28.16 |              0.92 |               0.2 |              1.81 |               2.35 
2954 |             75.32 |             19.62 |              0.42 |               0.1 |              0.84 |               1.09 
2955 |             210.7 |             54.39 |              0.98 |              0.24 |               4.9 |               2.69 
2956 |             84.15 |             22.27 |              0.87 |              0.18 |              1.65 |               2.31 
2957 |            176.64 |              21.9 |              1.07 |             10.51 |             90.16 |               2.39 
2958 |              96.6 |             24.52 |              1.77 |              0.32 |                 0 |               3.68 
2959 |             96.33 |             22.72 |              1.24 |              0.25 |              2.47 |                  0 
2960 |             57.09 |             12.96 |              1.38 |              0.69 |              5.19 |                  0 
2961 |            180.56 |              47.2 |              1.92 |              0.52 |              5.92 |               2.52 
2962 |               310 |             82.74 |              3.04 |              0.32 |                 4 |                4.4 
2963 |            364.62 |             58.02 |              1.77 |             13.94 |              2.36 |               4.13 
2964 |             34.44 |              8.62 |              0.13 |              0.05 |              0.28 |               0.28 
2965 |              75.9 |             18.84 |              1.15 |              0.46 |                 0 |               2.31 
2966 |            162.87 |             42.31 |              0.81 |              0.26 |             34.77 |               2.75 
2967 |            134.46 |             32.69 |              0.37 |              0.72 |             22.41 |               0.25 
2968 |             72.21 |             16.27 |              1.45 |              1.02 |              2.61 |               3.48 
2969 |             61.09 |             14.26 |              1.09 |              0.76 |              7.45 |               5.36 
2970 |              13.7 |              3.58 |              0.09 |              0.01 |               0.1 |               0.28 
2971 |             92.52 |             23.44 |              0.76 |              0.07 |              8.28 |               1.19 
2972 |             191.1 |             43.89 |              6.06 |              0.25 |             228.8 |               2.73 
2973 |             417.6 |            111.15 |              3.79 |              0.66 |              3.48 |              12.35 
2974 |            447.48 |            117.57 |              4.88 |              0.96 |               6.6 |                  0 
2975 |             316.4 |             83.16 |              3.44 |              0.67 |               5.6 |                  0 
2976 |              72.2 |             18.28 |              1.44 |              0.08 |               1.9 |                1.9 
